Rank,Word,Pronunciation,PoS,Definition
6,a,/ə/,det,one (of something)
271,able,/ˈeɪ.bəl/,adj,"having the power, skill, knowledge, or money to do something"
37,about,/əˈbaʊt/,prep,of (a subject); concerning
383,across,/əˈkrɑs/,adv,from one side to the other of something
291,actually,/ˈæk.tʃu.ə.li/,adv,used to add new (often different) information
84,after,/ˈæf.tər/,adv,"later than another time, or behind something"
175,again,/əˈgɛn/,adv,"one more time, once more"
224,against,/əˈgɛnst/,prep,in opposition to; disagreeing with
282,age,/eɪdʒ/,noun,number of years a person has lived (also of things)
372,ago,/əˈgoʊ/,adv,at a specified length of time in the past
33,all,/ɔl/,adv,completely; totally
324,allow,/əˈlaʊ/,verb,to let or permit someone do something
307,almost,/ˈɑl.məʊst/,adv,"only a little less than, nearly, not quite"
388,along,/əˈlɔŋ/,prep,at a point on a line
302,already,/ɔlˈrɛd.i/,adv,having happened or been done before this time
72,also,/ˈɑl.səʊ/,adv,in addition; too; in a similar way
278,although,/ɔlˈðoʊ/,conj,despite the fact that; however
183,always,/ˈɑl.weɪz/,adv,at all times; in every situation
376,among,/əˈmʌŋ/,prep,in the center of some things; in relation to several things
3,and,/ænd/,conj,used to refer to two or more things
140,another,/əˈnʌð.ər/,det,one more (thing); additional (thing)
355,answer,/ˈæn.sər/,noun,solution to a problem or test question
83,any,/ˈɛn.i/,adj,one (thing) of many; some (thing)
318,anything,/ˈɛn.iˌθɪŋ/,noun,thing of any kind; used to refer to a thing in questions
204,area,/ˈɛər.i.ə/,noun,a specific section or space; part of a region
170,around,/əˈraʊnd/,adv,"located on every side, or along something"
22,as,/æz/,prep,a word used to compare two equal things
134,ask,/æsk/,verb,to say to someone that you want something
23,at,/æt/,prep,in the place where something is
234,away,/əˈweɪ/,adv,not here; far from here; in a different direction
94,back,/bæk/,noun,behind; to the rear; previous
268,bad,/bæd/,adj,not good; wrong
327,base,/beɪs/,noun,origin or start from which something came
2,be,/bi/,verb,To exist; to be alive; used to give information about someone or something
62,because,/bɪˈkɔz/,conj,for a reason
141,become,/bɪˈkʌm/,verb,to begin to be; grow to be; develop into
106,before,/bɪˈfɔr/,adv,at a time earlier than the present; previously
189,begin,/bɪˈgɪn/,verb,to do the first part of an action; to start
225,believe,/bɪˈliv/,verb,to think or accept that something is true
116,between,/bɪˈtwin/,prep,in the space that separates two objects
184,big,/bɪg/,adj,large
352,bit,/bɪt/,noun,small piece of something
171,book,/bʊk/,noun,thing made of pages with writing on that you read
128,both,/boʊθ/,det,used to refer to two things at the same time
368,break,/breɪk/,verb,"to separate into pieces by force, or by dropping"
196,bring,/brɪŋ/,verb,to take or go with someone to a place
221,build,/bɪld/,verb,"to make (e.g., a house, by putting materials together)"
211,business,/ˈbɪz.nɪs/,noun,"the making, buying, or selling goods or services for money"
25,but,/bʌt/,conj,"used before you say something different, opposite"
242,buy,/baɪ/,verb,to get something by paying money for it
27,by,/baɪ/,prep,near; with
105,call,/kɔl/,verb,to phone someone
38,can,/kæn/,aux,to be able to; have the skill to; have the time to
260,car,/kɑr/,noun,a vehicle with four wheels and engine that can carry things
313,care,/kɛər/,verb,to look after someone or something
168,case,/keɪs/,noun,example or instance of something
319,cause,/kɔz/,verb,to make something happen; create effect or result
334,center,/ˈsɛn.tər/,noun,place in the middle of something
113,change,/tʃeɪndʒ/,verb,"to make or become different, or into something else"
102,child,/tʃaɪld/,noun,"a very young person, between about 2 and 15"
269,city,/ˈsɪt.i/,noun,a heavily populated area with many buildings and roads
362,class,/klæs/,noun,"rank or level in society, ranked from high (rich professional people) to low (ordinary people)"
